,Player,Nation,Squad,Age,90s,G,PK,PKatt,xG,npxG,npxG/sh,G-xG,npG-npxG,npG-npxG/90
54,Jørgen Strand Larsen,NOR,Celta Vigo,23,31.8,13,0,0,14.5,14.5,0.18,-1.5,-1.5,-0.04716981132075471
55,Alexander Sørloth,NOR,Villarreal,27,27.7,23,0,0,12.3,12.3,0.16,10.7,10.7,0.3862815884476534
56,Marcus Thuram,FRA,Inter,25,29.9,13,0,0,14.3,14.3,0.19,-1.3,-1.3,-0.04347826086956522
57,Deniz Undav,GER,Stuttgart,27,23.2,18,0,1,15.0,14.3,0.13,3.0,3.7,0.15948275862068967
58,Myrto Uzuni,ALB,Granada,28,27.2,11,4,5,12.9,9.0,0.16,-1.9,-2.0,-0.07352941176470588
59,Dušan Vlahović,SRB,Juventus,23,25.6,16,2,4,16.6,13.3,0.13,-0.6,0.7,0.027343749999999997
60,Ollie Watkins,ENG,Aston Villa,27,35.7,19,0,0,16.8,16.8,0.16,2.2,2.2,0.06162464985994398
61,Yoane Wissa,COD,Brentford,26,27.7,12,0,0,10.6,10.6,0.16,1.4,1.4,0.05054151624548736
62,Chris Wood,NZL,Nott'ham Forest,31,20.1,14,0,0,11.9,11.9,0.25,2.1,2.1,0.1044776119402985
63,Duván Zapata,COL,Torino,32,32.0,12,0,0,10.9,10.9,0.11,1.1,1.1,0.034375
